1a,11.5
2a,17
3a,23.5
4a,15
5a,18
6a,14
7a,14.5
8a,16.5
9a,16
10a,12
11a,13
12a,16
13a,16
14a,14.5
15a,13
16a,19.5
17a,14
18a,16.5
20a,16.5
21a,18
22a,17
23a,15.5
24a,14
25a,15.5
26a,15
27a,16
29a,12.5
1b,16
2b,14
3b,25
4b,14.5
5b,17
6b,14
7b,13
8b,16.5
9b,15
10b,12
11b,13
12b,17.5
13b,16
14b,13.5
15b,14
16b,19
17b,13
18b,14.5
20b,15.5
21b,16
22b,16.5
23b,16
24b,14.5
25b,15.5
26b,14.5
27b,16
29b,13
1c,14
2c,16
3c,14
4c,13
5c,16
6c,13.5
7c,15
8c,20
9c,15.2
10c,13
11c,12
12c,14.5
13c,15.5
14c,12.5
15c,13
16c,18.5
17c,12
18c,14
20c,15.5
21c,15
22c,16
23c,16
24c,15
25c,15
26c,14.5
27c,16.5
29c,13.5
