1a,5
2a,1
3a,1
4a,2
5a,2
6a,2
7a,1
8a,4
9a,2
10a,3
11a,3
12a,3
13a,4
14a,5
15a,2.5
16a,3
17a,3
18a,2
20a,5
21a,5
22a,4
23a,4
24a,3
25a,3
26a,2.5
27a,4
29a,2
1b,1.5
2b,2
3b,2
4b,2.5
5b,2
6b,3
7b,3
8b,3
9b,4
10b,3.5
11b,3
12b,2
13b,4
14b,4
15b,3
16b,4
17b,4
18b,4.5
20b,4
21b,4
22b,3
23b,3
24b,3
25b,3
26b,2.5
27b,4
29b,2
1c,2
2c,3
3c,1
4c,1.5
5c,1
6c,2
7c,1
8c,3
9c,2
10c,3
11c,3
12c,2
13c,3.5
14c,3
15c,3
16c,3
17c,5
18c,5
20c,4
21c,4
22c,3
23c,3
24c,2
25c,3
26c,2.5
27c,3
29c,4
